rhoe,alpha,beta,A,B,lamda,kappa,Fn3,F2,Fe,etha,rhom,lattice_constant,fe,cohesive,poisson ratio,C12,C11,bulk_modulus,C44,surface100,surface110,surface111,VFE,density298.15,,
11.90456935,8.946920066,4.096048033,0.2112010742,0.5448181311,0.9754129612,0.5404280287,-1.980238552,1.625636748,-1.36253205,1.33899945,0.7179482917,3.890150026,1.209995914,-3.748443097,0.4649092304,157.4933293,181.2681299,165.4182628,42.27264723,1465.112966,1567.323231,1337.210149,1.1091766,21.737788,[],[]
11.92218496,8.946874563,4.1021091,0.2112000001,0.5456243176,0.9754080003,0.5412277191,-1.980228481,1.625628481,-1.364548237,1.33899264,0.719010665,3.890130241,1.211786388,-3.754345324,0.4649681119,158.0690688,181.8877256,166.0086211,42.35732922,1466.257826,1568.387093,1337.7379,1.115339981,21.754422,[],[]
11.9045088,8.960159139,4.096027201,0.2115135959,0.5448153602,0.9768563141,0.5404252802,-1.983168781,1.62804226,-1.36252512,1.340980815,0.7179446402,3.895906418,1.20998976,-3.746215525,0.4648086002,156.890404,180.647249,164.8093523,42.18475297,1460.815274,1562.626041,1333.156665,1.100002706,21.618545,[],[]
11.90450988,8.946875371,4.096500898,0.2112,0.5518166947,0.9879428116,0.54042528,-1.98045749,1.62562848,-1.380034712,1.338992761,0.718027669,3.89013024,1.20998987,-3.814726715,0.4650991545,161.7221992,185.9933312,169.8125765,43.1802561,1487.420656,1591.127362,1356.211928,1.143181791,21.808425,[],[]
12.05749173,9.061849408,4.0960272,0.2112244249,0.5448154094,0.9754080884,0.5404877792,-1.98022848,1.625816481,-1.362525243,1.356199819,0.71794464,3.890580127,1.225539144,-3.743145186,0.4642682328,159.2798201,183.7973255,167.4523219,42.9643336,1465.714584,1568.932383,1377.179493,1.052081341,21.581901,[],[]
11.90588554,8.94687456,4.096027571,0.2112000191,0.54481536,0.9755208042,0.5473701985,-2.005676078,1.625628627,-1.36252512,1.33899264,0.7179447051,3.890130593,1.210129693,-3.748294387,0.4648524844,157.423252,181.2288092,165.3584377,42.29966773,1464.973595,1567.610207,1336.8931,1.109077701,21.738844,[],[]
11.9045088,8.94790925,4.148664588,0.2139140973,0.5448783669,0.975408,0.540425329,-1.980228659,1.646519171,-1.362682694,1.339147492,0.7271708313,3.940121679,1.20998976,-3.720385903,0.4648610215,152.8908824,176.005014,160.5955929,41.04543967,1413.704173,1513.252927,1304.208261,1.105287154,20.917528,[],[]
11.9045088,8.946874623,4.096027229,0.2112927535,0.544829774,0.975408,0.54042528,-2.047083177,1.62562848,-1.36252512,1.339580691,0.7212138053,3.89023316,1.210521156,-3.747130757,0.4649245804,157.367174,181.1117549,165.2820343,42.21300441,1463.714588,1565.713913,1335.94689,1.103675278,21.726386,[],[]
11.90973695,8.987614208,4.114678485,0.2112,0.54481536,0.9758363738,0.5404395778,-1.980230033,1.626342414,-1.362561168,1.33899264,0.7179446451,3.89013024,1.20998976,-3.74506734,0.4644983449,158.3859639,182.5968741,166.4562673,42.87428237,1465.211871,1568.572727,1336.54124,1.117795419,21.748143,[],[]
12.30641814,8.94687456,4.096135567,0.2183303449,0.5448153638,0.9754087651,0.5428861098,-1.981098145,1.625629755,-1.368729387,1.384198508,0.71794464,3.907843972,1.209990709,-3.742110589,0.4650859727,161.3455643,185.5700034,169.4203773,43.05237737,1500.598007,1606.503833,1367.601634,1.140518929,21.440803,[],[]
